// alignID alignOntime alignSitch alignPitch alignOnvel refID refOntime refSitch refPitch refOnvel
190	30.4477	C#5	73	67	200	16.5	C#5	73	80	
191	30.6464	G#4	68	56	201	16.625	G#4	68	80	
192	30.8921	Eb5	75	75	202	16.75	Eb5	75	80	
193	30.8953	F#4	66	52	203	16.75	F#4	66	80	
194	31.109	E4	64	53	204	16.875	E4	64	80	
195	31.3665	C5	72	66	205	17	C5	72	80	
196	31.3985	Eb4	63	48	206	17	Eb4	63	80	
197	31.812	G#3	56	58	207	17.25	G#3	56	80	
198	32.0353	A3	57	66	208	17.375	A3	57	80	
199	32.2703	C#5	73	76	209	17.5	C#5	73	80	
200	32.2864	G#3	56	62	211	17.5	G#3	56	80	
201	32.2864	E4	64	45	210	17.5	E4	64	80	
202	32.4958	F#3	54	54	212	17.625	F#3	54	80	
203	32.6966	Eb5	75	80	213	17.75	Eb5	75	80	
204	32.7073	F#4	66	63	214	17.75	F#4	66	80	
205	32.7084	E3	52	61	215	17.75	E3	52	80	
206	32.9359	Eb3	51	59	216	17.875	Eb3	51	80	
207	33.1977	E5	76	59	217	18	E5	76	80	
208	33.1998	C#3	49	48	219	18	C#3	49	80	
209	33.2116	G#4	68	42	218	18	G#4	68	80	
210	33.4188	Eb5	75	66	220	18.125	Eb5	75	80	
211	33.6464	C#4	61	66	222	18.25	C#4	61	80	
212	33.6913	E5	76	50	221	18.25	E5	76	80	
213	33.8868	F#5	78	74	223	18.375	F#5	78	80	
214	34.0951	E5	76	72	224	18.5	E5	76	80	
215	34.0962	Eb4	63	66	225	18.5	Eb4	63	80	
216	34.2938	Eb5	75	79	226	18.625	Eb5	75	80	
217	34.5235	E4	64	74	228	18.75	E4	64	80	
218	34.5353	C#5	73	75	227	18.75	C#5	73	80	
219	34.7532	B4	71	71	229	18.875	B4	71	80	
220	34.9979	Bb4	70	67	230	19	Bb4	70	80	
221	34.999	F#4	66	70	231	19	F#4	66	80	
222	35.4423	C#4	61	49	232	19.25	C#4	61	80	
223	35.4434	F#3	54	54	233	19.25	F#3	54	80	
224	35.672	G#3	56	55	234	19.375	G#3	56	80	
225	35.8921	B4	71	65	235	19.5	B4	71	80	
226	35.9082	Eb4	63	47	236	19.5	Eb4	63	80	
